date,precipitation,temp_max,temp_min,wind,weather
01-01-2012,1.8,10,3.3,5.1,rain
02-01-2012,0,10,10,8.7,sun
03-01-2012,0,0.6,-8.9,8.2,sun
04-01-2012,0,-1.7,-10.6,5.5,sun
05-01-2012,0,5.6,-3.3,5.4,sun
06-01-2012,0,12.2,0,4.6,sun
07-01-2012,0,16.1,2.2,4.7,sun
08-01-2012,0,8.9,0.6,6.2,sun
09-01-2012,0,3.9,-1.7,2.7,sun
10-01-2012,0,8.9,-1.1,5.5,drizzle
11-01-2012,3,8.3,-0.6,3.6,rain
12-01-2012,22.9,9.4,5.6,6.1,rain
13-01-2012,0,10,-1.7,11.4,snow
14-01-2012,0,1.1,-2.8,8.1,snow
15-01-2012,0,-2.2,-8.9,7.6,sun
16-01-2012,0,3.9,-10,5.3,snow
17-01-2012,5.8,10,2.8,5.2,rain
18-01-2012,0,11.7,-4.4,8.8,sun
19-01-2012,0,3.3,-7.8,4.7,sun
20-01-2012,0,2.8,-2.8,5.9,sun
21-01-2012,4.3,-1.7,-5,6.2,snow
22-01-2012,0,1.1,-7.8,4.2,sun
23-01-2012,5.8,10.6,0.6,5.1,snow
24-01-2012,0,12.2,4.4,5.4,drizzle
25-01-2012,0,7.8,2.8,5.6,sun
26-01-2012,4.6,6.7,1.1,2.6,snow
27-01-2012,7.4,14.4,6.7,7.3,rain
28-01-2012,0,7.8,2.8,6,sun
29-01-2012,0,6.7,0.6,7,sun
30-01-2012,0,5,1.1,7.1,sun
31-01-2012,0,13.9,2.8,4.9,sun
01-02-2012,0.8,17.8,5.6,5.2,rain
02-02-2012,0,10.6,2.2,5.7,sun
03-02-2012,0,7.2,-1.1,6.1,sun
04-02-2012,0,8.3,1.7,4.3,sun
05-02-2012,0,5,0.6,3.8,sun
06-02-2012,0,10.6,-1.7,6.3,sun
07-02-2012,0,10.6,1.1,5.7,sun
08-02-2012,1,3.9,-0.6,2.2,snow
09-02-2012,0,8.3,-0.6,5,snow
10-02-2012,0,7.2,-1.1,4.3,rain
11-02-2012,3,3.3,0.6,4.4,snow
12-02-2012,0,1.7,-6.1,9.5,snow
13-02-2012,0,6.7,-1.7,7.8,sun
14-02-2012,0.8,7.2,1.7,3.2,rain
15-02-2012,0.3,7.8,2.8,3,rain
16-02-2012,3,6.7,-0.6,2.4,rain
17-02-2012,1,11.7,2.8,5.3,rain
18-02-2012,0.3,7.8,2.2,5.4,rain
19-02-2012,0,7.8,0.6,4.1,sun
20-02-2012,0,8.9,-0.6,5.9,sun
21-02-2012,0,8.3,-3.3,4.7,sun
22-02-2012,0,13.9,2.2,5.4,rain
23-02-2012,0,16.1,5.6,5.5,sun
24-02-2012,9.4,7.8,3.3,5.8,rain
25-02-2012,0,8.3,1.7,12.3,snow
26-02-2012,0,7.2,-1.1,6,sun
27-02-2012,0,10.6,-0.6,6.4,sun
28-02-2012,0,10.6,3.3,6.1,sun
29-02-2012,12.4,7.2,1.1,4.9,rain
01-03-2012,2.8,5.6,2.2,4.7,rain
02-03-2012,3.8,6.1,0.6,5.4,rain
03-03-2012,3.6,13.3,6.1,5.8,rain
04-03-2012,0,8.3,2.2,5.6,sun
05-03-2012,0,7.8,-1.7,7.6,sun
06-03-2012,0,5,-3.3,6.3,sun
07-03-2012,0,11.7,2.8,6.3,sun
08-03-2012,0,15,7.8,8.2,sun
09-03-2012,1.8,11.7,2.8,7.9,rain
10-03-2012,0,6.1,-1.7,6,sun
11-03-2012,0,13.9,2.2,6.1,sun
12-03-2012,0,16.7,4.4,4,sun
13-03-2012,2,16.1,9.4,3.8,rain
14-03-2012,0,22.2,8.3,4.3,sun
15-03-2012,0,8.3,6.1,4.7,drizzle
16-03-2012,0.5,9.4,6.1,3.1,rain
17-03-2012,0,15,4.4,2.9,drizzle
18-03-2012,0,12.8,7.2,3.1,drizzle
19-03-2012,0,17.8,7.2,3.1,fog
20-03-2012,0,20.6,10.6,2.1,drizzle
21-03-2012,0,18.3,11.7,2.1,drizzle
22-03-2012,0,18.9,11.7,2.4,drizzle
23-03-2012,0,25,11.7,3.6,drizzle
24-03-2012,3,16.1,8.9,5.2,rain
25-03-2012,1,10.6,7.2,4.3,rain
26-03-2012,0,13.9,1.7,9.5,sun
27-03-2012,0,11.7,-0.6,6.5,sun
28-03-2012,0.3,17.8,5.6,5.2,rain
29-03-2012,0,17.2,6.7,8.9,sun
30-03-2012,1,12.2,3.9,5.1,rain
31-03-2012,8.9,6.7,3.9,4.8,rain
01-04-2012,7.6,11.1,5.6,3.8,rain
02-04-2012,2.5,14.4,4.4,8.4,rain
03-04-2012,0,18.9,4.4,5.5,sun
04-04-2012,0,21.1,8.3,6.7,sun
05-04-2012,0,15,5.6,5,sun
06-04-2012,0,15,2.8,5.1,sun
07-04-2012,0,16.7,4.4,6.8,sun
08-04-2012,0,20,7.8,6.7,sun
09-04-2012,0,18.3,10,9.7,sun
10-04-2012,0,16.7,6.1,6.3,rain
11-04-2012,0,12.2,6.1,5,rain
12-04-2012,0,16.7,6.7,5.3,rain
13-04-2012,0,16.7,6.7,4.8,rain
14-04-2012,0,18.9,7.2,4.3,rain
15-04-2012,0,24.4,12.8,3.6,rain
16-04-2012,0,25,12.2,3.4,sun
17-04-2012,0,27.2,13.9,5.6,sun
18-04-2012,0,17.2,10,4.8,rain
19-04-2012,0,17.2,9.4,3.4,rain
20-04-2012,0,18.9,9.4,3.6,rain
21-04-2012,2.5,18.9,12.2,5.3,rain
22-04-2012,54.4,13.9,9.4,7.6,rain
23-04-2012,6.9,14.4,6.1,7.4,rain
24-04-2012,0,17.2,5.6,8.4,sun
25-04-2012,0,15,4.4,3.4,rain
26-04-2012,1.5,15.6,5,3.8,rain
27-04-2012,0,13.9,5.6,9.9,rain
28-04-2012,0,14.4,4.4,5.9,sun
29-04-2012,0,18.3,6.7,5.6,sun
30-04-2012,0,13.9,6.1,4.4,sun
01-05-2012,23.9,21.1,11.1,4.8,rain
02-05-2012,0.8,12.2,10.6,3.6,rain
03-05-2012,16.5,13.9,10.6,3,rain
04-05-2012,7.1,20.6,11.7,2.5,rain
05-05-2012,1.8,15,12.8,2.5,rain
06-05-2012,0,16.7,10,2.9,sun
07-05-2012,0,15.6,10,3.4,rain
08-05-2012,2.3,17.8,12.8,7.8,rain
09-05-2012,35.6,17.2,14.4,3.5,rain
10-05-2012,5.6,19.4,10.6,6.2,rain
11-05-2012,0,21.7,10,6.2,sun
12-05-2012,0,23.9,10,4.1,sun
13-05-2012,0,23.9,14.4,4.8,sun
14-05-2012,0,21.1,16.1,4.2,rain
15-05-2012,14.5,17.2,15.6,5.3,rain
16-05-2012,0.5,22.2,15,3.5,rain
17-05-2012,0,22.8,12.8,4,sun
18-05-2012,0,20.6,10.6,3.6,sun
19-05-2012,0,25.6,11.1,2.9,sun
20-05-2012,0,25.6,12.8,4.9,drizzle
21-05-2012,44.7,17.8,15.6,3.8,rain
22-05-2012,4.1,20.6,16.1,2.3,rain
23-05-2012,0,23.3,15,2.6,rain
24-05-2012,11.7,20,16.7,4.4,rain
25-05-2012,2.3,23.3,17.2,2.9,rain
26-05-2012,4.8,27.2,17.2,3.4,rain
27-05-2012,3.6,25.6,18.3,2.9,rain
28-05-2012,0,29.4,20,2.9,sun
29-05-2012,0.3,28.9,21.7,5.4,rain
30-05-2012,0,25,18.9,2.5,rain
31-05-2012,0,27.8,18.3,4.3,drizzle
01-06-2012,11.4,22.2,16.7,7.4,rain
02-06-2012,20.6,24.4,16.7,6.3,rain
03-06-2012,0,25.6,14.4,5.2,rain
04-06-2012,5.6,18.3,12.2,5.2,rain
05-06-2012,0,19.4,10.6,3.2,rain
06-06-2012,1,21.7,11.7,4,rain
07-06-2012,0,24.4,15,3.8,rain
08-06-2012,0,25.6,15,4,sun
09-06-2012,0,26.7,17.2,2.6,rain
10-06-2012,2,26.7,18.3,3.2,rain
11-06-2012,0,23.9,17.8,5,sun
12-06-2012,27.4,22.8,17.8,5.8,rain
13-06-2012,34.8,20.6,18.3,3.4,rain
14-06-2012,0,22.8,16.7,4.5,sun
15-06-2012,0,26.7,15,3.7,sun
16-06-2012,0,26.1,15,4.1,sun
17-06-2012,0,21.1,13.9,3.7,sun
18-06-2012,0,20,12.8,3,sun
19-06-2012,0,23.3,16.7,4.3,sun
20-06-2012,0,34.4,20.6,4.3,drizzle
21-06-2012,0,36.1,26.1,4.4,sun
22-06-2012,4.8,34.4,22.2,3.7,rain
23-06-2012,16.5,30.6,20.6,4.3,rain
24-06-2012,0.8,27.8,18.3,3.8,rain
25-06-2012,48.3,23.9,16.7,4,rain
26-06-2012,0,24.4,13.9,7.6,sun
27-06-2012,0,28.9,18.3,6.5,sun
28-06-2012,0,30,20,4,sun
29-06-2012,1.5,33.3,21.7,4.7,rain
30-06-2012,0,33.9,23.9,5.3,sun
01-07-2012,0,32.8,21.1,4.7,sun
02-07-2012,0,31.7,22.2,4.2,rain
03-07-2012,0,31.1,21.1,4.7,sun
04-07-2012,1,31.7,22.2,4.6,rain
05-07-2012,0,35,25,4,sun
06-07-2012,0,30,22.2,3.7,sun
07-07-2012,1.8,37.2,23.9,3.8,rain
08-07-2012,0,31.7,23.9,3.7,rain
09-07-2012,0,28.9,21.7,4.2,sun
10-07-2012,0,28.3,21.1,3.6,sun
11-07-2012,0,28.3,21.1,2.5,sun
12-07-2012,0,28.9,20,3.3,sun
13-07-2012,0,29.4,21.7,3.7,rain
14-07-2012,0,30.6,23.9,4.6,rain
15-07-2012,4.1,30.6,22.8,4.5,rain
16-07-2012,0,33.9,22.2,4.4,drizzle
17-07-2012,0,32.8,24.4,5.1,sun
18-07-2012,5.3,35.6,23.3,4.3,rain
19-07-2012,0,25,22.2,3.1,rain
20-07-2012,11.4,22.2,16.7,4.7,rain
21-07-2012,0,24.4,16.7,3.2,sun
22-07-2012,0,26.7,18.3,3.4,sun
23-07-2012,1.3,28.9,20.6,5.2,rain
24-07-2012,0,35,23.3,6.3,sun
25-07-2012,0,30.6,19.4,5.2,sun
26-07-2012,12.4,31.1,22.2,4.8,rain
27-07-2012,0,32.2,22.8,4.3,rain
28-07-2012,1.8,27.2,20.6,3.4,rain
29-07-2012,0,26.1,20.6,2.6,rain
30-07-2012,0,26.1,19.4,3.4,sun
31-07-2012,0,26.1,21.1,3.1,sun
01-08-2012,1.8,27.8,22.2,3,rain
02-08-2012,0,30,21.7,4.9,drizzle
03-08-2012,0,30.6,23.3,4.1,drizzle
04-08-2012,0,31.1,23.3,4.3,drizzle
05-08-2012,4.6,30.6,22.8,7.4,rain
06-08-2012,5.8,32.2,22.8,4.4,rain
07-08-2012,0,27.2,20,2.7,drizzle
08-08-2012,0,30,21.7,2.4,sun
09-08-2012,0,30,22.8,4.2,sun
10-08-2012,53.8,27.8,21.1,4.7,rain
11-08-2012,0,29.4,23.9,5.1,rain
12-08-2012,0,29.4,23.3,4.2,sun
13-08-2012,0,30.6,21.7,4.6,sun
14-08-2012,0,27.2,21.1,2.6,rain
15-08-2012,11.2,28.3,20.6,2.6,rain
16-08-2012,0,31.1,20.6,3.8,drizzle
17-08-2012,0,29.4,20.6,4.5,rain
18-08-2012,9.4,27.2,17.8,3.4,rain
19-08-2012,0,25,17.2,3.1,rain
20-08-2012,0,25,18.9,2.8,sun
21-08-2012,0,27.2,20.6,2.8,sun
